0.000000 0.500000 
0.005000 0.499975 
0.010000 0.499900 
0.015000 0.499775 
0.020000 0.499600 
0.025000 0.499375 
0.030000 0.499099 
0.035000 0.498773 
0.040000 0.498397 
0.045000 0.497971 
0.050000 0.497494 
0.055000 0.496966 
0.060000 0.496387 
0.065000 0.495757 
0.070000 0.495076 
0.075000 0.494343 
0.080000 0.493558 
0.085000 0.492722 
0.090000 0.491833 
0.095000 0.490892 
0.100000 0.489898 
0.105000 0.488851 
0.110000 0.487750 
0.115000 0.486595 
0.120000 0.485386 
0.125000 0.484123 
0.130000 0.482804 
0.135000 0.481430 
0.140000 0.480000 
0.145000 0.478513 
0.150000 0.476970 
0.155000 0.475368 
0.160000 0.473709 
0.165000 0.471990 
0.170000 0.470213 
0.175000 0.468375 
0.180000 0.466476 
0.185000 0.464516 
0.190000 0.462493 
0.195000 0.460407 
0.200000 0.458258 
0.205000 0.456043 
0.210000 0.453762 
0.215000 0.451414 
0.220000 0.448999 
0.225000 0.446514 
0.230000 0.443960 
0.235000 0.441333 
0.240000 0.438634 
0.245000 0.435861 
0.250000 0.433013 
0.255000 0.430087 
0.260000 0.427083 
0.265000 0.423999 
0.270000 0.420833 
0.275000 0.417582 
0.280000 0.414246 
0.285000 0.410822 
0.290000 0.407308 
0.295000 0.403702 
0.300000 0.400000 
0.305000 0.396201 
0.310000 0.392301 
0.315000 0.388298 
0.320000 0.384188 
0.325000 0.379967 
0.330000 0.375633 
0.335000 0.371181 
0.340000 0.366606 
0.345000 0.361905 
0.350000 0.357072 
0.355000 0.352101 
0.360000 0.346987 
0.365000 0.341724 
0.370000 0.336304 
0.375000 0.330719 
0.380000 0.324962 
0.385000 0.319022 
0.390000 0.312890 
0.395000 0.306554 
0.400000 0.300000 
0.405000 0.293215 
0.410000 0.286182 
0.415000 0.278882 
0.420000 0.271294 
0.425000 0.263392 
0.430000 0.255147 
0.435000 0.246526 
0.440000 0.237487 
0.445000 0.227981 
0.450000 0.217946 
0.455000 0.207305 
0.460000 0.195960 
0.465000 0.183781 
0.470000 0.170588 
0.475000 0.156126 
0.480000 0.140001 
0.485000 0.121554 
0.490000 0.099500 
0.500000 0.000000 
