5.199997 0.008875 99.923134 4.747876 -86.540421 -49.984627 4.747885 86.558167 -49.984627 4.747901
5.299997 0.009220 99.920151 4.839181 -86.538010 -49.984028 4.839191 86.556442 -49.984028 4.839208
5.399997 0.009572 99.917107 4.930486 -86.535553 -49.983418 4.930497 86.554688 -49.983418 4.930514
5.499997 0.009929 99.914009 5.021791 -86.533051 -49.982800 5.021802 86.552895 -49.982800 5.021820
5.599997 0.010294 99.910851 5.113097 -86.530502 -49.982170 5.113108 86.551071 -49.982170 5.113126
5.699997 0.010665 99.907639 5.204402 -86.527908 -49.981529 5.204414 86.549217 -49.981529 5.204432
5.799997 0.011042 99.904366 5.295707 -86.525269 -49.980877 5.295720 86.547333 -49.980877 5.295739
5.899997 0.011427 99.901039 5.387012 -86.522583 -49.980213 5.387025 86.545410 -49.980213 5.387045
5.999997 0.011817 99.897652 5.478318 -86.519852 -49.979538 5.478331 86.543457 -49.979538 5.478351
6.099997 0.012215 99.894211 5.569623 -86.517067 -49.978851 5.569637 86.541473 -49.978851 5.569657
6.199996 0.012618 99.890717 5.660928 -86.514236 -49.978153 5.660943 86.539452 -49.978153 5.660964
6.299996 0.013029 99.887161 5.752234 -86.511360 -49.977444 5.752248 86.537399 -49.977444 5.752270
6.399996 0.013446 99.883553 5.843539 -86.508438 -49.976723 5.843554 86.535316 -49.976723 5.843576
6.499996 0.013870 99.879883 5.934844 -86.505470 -49.975990 5.934860 86.533195 -49.975990 5.934883
6.599996 0.014300 99.876160 6.026149 -86.502457 -49.975246 6.026165 86.531044 -49.975246 6.026190
6.699996 0.014736 99.872375 6.117455 -86.499397 -49.974491 6.117471 86.528862 -49.974491 6.117496
6.799996 0.015180 99.868538 6.208760 -86.496292 -49.973724 6.208777 86.526642 -49.973724 6.208803
6.899996 0.015630 99.864639 6.300065 -86.493141 -49.972946 6.300083 86.524391 -49.972946 6.300110
6.999996 0.016086 99.860687 6.391370 -86.489944 -49.972157 6.391388 86.522110 -49.972157 6.391417
7.099996 0.016549 99.856674 6.482676 -86.486702 -49.971355 6.482694 86.519798 -49.971355 6.482723
7.199996 0.017019 99.852608 6.573981 -86.483414 -49.970543 6.574000 86.517448 -49.970543 6.574030
7.299995 0.017495 99.848480 6.665286 -86.480080 -49.969719 6.665306 86.515068 -49.969719 6.665337
7.399995 0.017978 99.844299 6.756591 -86.476700 -49.968884 6.756611 86.512657 -49.968884 6.756643
7.499995 0.018467 99.840057 6.847897 -86.473274 -49.968037 6.847917 86.510208 -49.968037 6.847950
